"Name","Dep","Line"
"E_qint","qint","1005"
"E_qva","qva","1019"
"E_qo","po","1049"
"E_qfa","qfa","1074"
"E_pint","pint","1093"
"E_qfe","qfe","1125"
"E_pva","pva","1132"
"E_qfd","qfd","1142"
"E_qfm","qfm","1147"
"E_pfa","pfa","1159"
"E_ao","ao","1176"
"E_afa","afa","1190"
"E_ava","ava","1202"
"E_afe","afe","1216"
"E_aint","aint","1228"
"E_qca","qca","1275"
"E_po","po","1281"
"E_ps","pca","1286"
"E_pb","pb","1308"
"E_pca","pca","1349"
"E_qc","qc","1355"
"E_fincome","FY","1373"
"E_y","INCOME","1392"
"E_qsave","psave","1416"
"E_yg","yg","1421"
"E_yp","yp","1426"
"E_uelas","uelas","1446"
"E_dpav","dpav","1451"
"E_p","p","1462"
"E_u","u","1521"
"E_dpsum","DPARSUM","1529"
"E_qpa","qpa","1592"
"E_uepriv","uepriv","1609"
"E_ppriv","ppriv","1614"
"E_up","UELASPRIV","1619"
"E_qpd","qpd","1629"
"E_qpm","qpm","1640"
"E_ppa","ppa","1645"
"E_qga","qga","1666"
"E_pgov","pgov","1671"
"E_ug","ug","1676"
"E_qgd","qgd","1690"
"E_qgm","qgm","1695"
"E_pga","pga","1700"
"E_qia","qia","1717"
"E_pinv","pinv","1722"
"E_qid","qid","1727"
"E_qim","qim","1732"
"E_pia","pia","1746"
"E_qms","qms","1788"
"E_qxs","qxs","1806"
"E_pms","pms","1822"
"E_qtmfsd","qtmfsd","1858"
"E_ptrans","ptrans","1912"
"E_qtm","qtm","1945"
"E_qst","qst","1959"
"E_pt","pt","1976"
"E_atmfsd","atmfsd","2001"
"E_pfob","pfob","2034"
"E_pcif","pcif","2056"
"E_pmds","pmds","2079"
"E_pr","pr","2086"
"E_qds","qds","2125"
"E_pds","qc","2153"
"E_pfd","pfd","2170"
"E_pfm","pfm","2179"
"E_ppd","ppd","2198"
"E_ppm","ppm","2203"
"E_pgd","pgd","2213"
"E_pgm","pgm","2218"
"E_pid","pid","2228"
"E_pim","pim","2233"
"E_tpd","tpd","2255"
"E_tpm","tpm","2260"
"E_pe1","qe","2286"
"E_qes1","pes","2291"
"E_qes2","qes","2308"
"E_pe2","pe","2319"
"E_qes3","qes","2332"
"E_pfe","pfe","2348"
"E_pes","peb","2353"
"E_peb","qfe","2358"
"E_ke","ke","2392"
"E_rental","rental","2417"
"E_rorc","rorc","2422"
"E_kb","kb","2427"
"E_rore","rore","2455"
"E_qinv","","2484"
"E_expand","expand","2499"
"E_globalcgds","","2513"
"E_psave","psave","2541"
"E_pcgdswld","pcgdswld","2555"
"E_del_taxrout","MAKEB","2607"
"E_del_taxrfu","VFP","2614"
"E_del_taxriu","VDFP","2621"
"E_del_taxrpc","VDPP","2635"
"E_del_taxrgc","VDGP","2644"
"E_del_taxric","VDIP","2653"
"E_del_taxrexp","","2667"
"E_del_taxrimp","VMSB","2674"
"E_del_taxrinc","","2692"
"E_del_indtaxr","del_indtaxr","2699"
"E_del_ttaxr","del_ttaxr","2709"
"E_pfactor","VENDWREG","2732"
"E_rorg","convention","2745"
"E_walras_sup","walras_sup","2770"
"E_walras_dem","","2779"
"E_walraslack","walras_sup","2788"
"E_pfactreal","pfactreal","2868"
"E_pebfactreal","pebfactreal","2901"
"E_pefactreal","pefactreal","2909"
"E_psw","VXWREGION","2925"
"E_pdw","VMWREGION","2939"
"E_tot","tot","2951"
"E_vgdp","GDP","2986"
"E_pgdp","GDP","3002"
"E_qgdp","GDP","3013"
"E_compvalad","compvalad","3030"
"E_vxwfob","VXW","3100"
"E_vxwreg","VXWREGION","3107"
"E_vxwcom","VXWCOMMOD","3114"
"E_vxwwld","VMCIF","3121"
"E_vmwcif","VMCIF","3125"
"E_vmwreg","VMWREGION","3131"
"E_vmwcom","VMWCOMMOD","3138"
"E_valuew","VWOW","3145"
"E_valuewu","VWOU","3152"
"E_pxw","VXW","3165"
"E_pxwreg","VXWREGION","3174"
"E_pxwcom","VXWCOMMOD","3181"
"E_pxwwld","Variable","3188"
"E_pmw","VMCIF","3194"
"E_pmwreg","VMWREGION","3201"
"E_pmwcom","VMWCOMMOD","3208"
"E_pw","VWOW","3215"
"E_pwu","VWOU","3222"
"E_qxw","VXW","3238"
"E_qxwreg","VXWREGION","3250"
"E_qxwcom","VXWCOMMOD","3260"
"E_qxwwld","Variable","3270"
"E_qmw","VMCIF","3279"
"E_qmwreg","VMWREGION","3289"
"E_qmwcom","VMWCOMMOD","3299"
"E_qow","VWOW","3309"
"E_qowu","VWOU","3319"
"E_del_tbalc","del_tbalc","3339"
"E_del_tbal","del_tbal","3347"
"E_ywld","Variable","3368"
"E_del_tbalry","","3379"
"E_pm_cr","pm_cr","3438"
"E_c1_cr","c1_cr","3447"
"E_c2_cr","c2_cr","3454"
"E_c3_cr","c3_cr","3461"
"E_c1_r","c1_r","3468"
"E_c2_r","c2_r","3475"
"E_c3_r","c3_r","3482"
"E_tot2","tot2","3489"
"E_ugev","ygev","3579"
"E_qpev","qpev","3625"
"E_upev","ypev","3639"
"E_ueprivev","ueprivev","3650"
"E_dpavev","dpavev","3714"
"E_uelasev","uelasev","3722"
"E_ypev","ypev","3727"
"E_ygev","ygev","3732"
"E_ysaveev","ysaveev","3737"
"E_qsaveev","qsaveev","3742"
"E_yev","u","3758"
"E_EV","EV","3775"
"E_WEV","WEV","3782"
"E_EV_ALT","EV_ALT","3818"
"E_WEV_ALT","WEV_ALT","3872"
"E_CNTdpar","CNTdpar","3878"
"E_CNTpop","CNTpop","3889"
"E_CNTqor","CNTqor","3896"
"E_CNTqo","CNTqo","3905"
"E_CNTqca","CNTqca","3914"
"E_CNTqe","CNTqe","3923"
"E_CNTqea","CNTqea","3933"
"E_CNTqfer","CNTqfer","3942"
"E_CNTqfeer","CNTqfeer","3952"
"E_CNTqfe","CNTqfe","3962"
"E_CNTqfr","CNTqfr","3971"
"E_CNTqfm","CNTqfm","3983"
"E_CNTqfd","CNTqfd","3992"
"E_CNTqpm","CNTqpm","4001"
"E_CNTqpd","CNTqpd","4009"
"E_CNTqpr","CNTqpr","4017"
"E_CNTqia","CNTqia","4029"
"E_CNTqim","CNTqim","4041"
"E_CNTqid","CNTqid","4049"
"E_CNTqgr","CNTqgr","4057"
"E_CNTqgm","CNTqgm","4069"
"E_CNTqgd","CNTqgd","4077"
"E_CNTqxsr","CNTqxsr","4085"
"E_CNTqxs","CNTqxs","4094"
"E_CNTqmsr","CNTqmsr","4103"
"E_CNTqms","CNTqms","4112"
"E_CNTalleffr","CNTalleffr","4120"
"E_CNTalleffcr","CNTalleffcr","4149"
"E_CNTtotr","CNTtotr","4168"
"E_CNTpinv","CNTpinv","4180"
"E_CNTendwr","CNTendwr","4189"
"E_CNTendw","CNTendw","4199"
"E_CNTtechr","CNTtechr","4207"
"E_CNTtech_ao","CNTtech_ao","4228"
"E_CNTtech_afe","CNTtech_afe","4236"
"E_CNTtech_ava","CNTtech_ava","4244"
"E_CNTtech_aint","CNTtech_aint","4252"
"E_CNTtech_af","CNTtech_af","4262"
"E_CNTtech_atmfsd","CNTtech_atmfsd","4271"
"E_CNTtech_ams","CNTtech_ams","4280"
"E_CNTkb","CNTkb","4288"
